City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,gamay,12.3854,125.2979,25.0,94,84,1.46,PH,1724791636
160,anahuac,27.2333,-100.15,34.25,38,80,5.36,MX,1724791637
161,linxia chengguanzhen,35.6003,103.2064,17.79,74,84,1.59,CN,1724791638
162,mikun',62.3547,50.0771,12.83,73,100,1.96,RU,1724791639
163,caburan,5.9181,125.6411,25.06,78,100,1.06,PH,1724791642
164,les anglais,18.3054,-74.2197,28.32,77,100,2.25,HT,1724791643
165,college,64.8569,-147.8028,17.26,54,75,3.09,US,1724791644
166,bilibino,68.0546,166.4372,3.46,85,100,2.45,RU,1724791646
167,charters towers,-20.1,146.2667,15.62,90,0,2.68,AU,1724791647
168,lethem,3.3803,-59.7968,23.09,95,100,2.24,GY,1724791648
169,negombo,7.2083,79.8358,26.03,89,40,2.06,LK,1724791649
170,ryotsu-minato,38.0833,138.4333,23.33,88,100,0.3,JP,1724791651
171,ugoofaaru,5.6667,73.0,27.86,76,85,2.24,MV,1724791652
172,doka,13.5167,35.7667,22.38,90,100,2.43,SD,1724791653
173,harstad,68.799,16.5293,10.64,96,100,6.71,NO,1724791655
174,rosalie,15.3667,-61.2667,33.75,55,40,0.51,DM,1724791656
175,misratah,32.3754,15.0925,28.19,64,0,4.73,LY,1724791657
176,recani,31.2846,-4.2688,35.47,19,0,3.08,MA,1724791659
177,nova sintra,14.8667,-24.7167,27.2,79,99,3.07,CV,1724791660
178,san patricio,28.017,-97.5169,33.97,44,96,6.1,US,1724791661
179,arar,30.9753,41.0381,34.01,16,0,0.0,SA,1724791663
180,berbera,10.4396,45.0143,31.42,61,100,3.39,SO,1724791664
181,cockburn town,21.4612,-71.1419,28.75,76,4,6.51,TC,1724791665
182,boguchany,58.3814,97.4531,11.94,99,100,2.03,RU,1724791666
183,sile,41.1754,29.6133,23.81,75,54,3.13,TR,1724791668
184,tabuk,17.4189,121.4443,22.78,92,5,1.19,PH,1724791669
185,vernon,50.2581,-119.2691,16.74,52,54,3.58,CA,1724791537
186,fisterra,42.9049,-9.2629,18.54,87,1,2.56,ES,1724791671
187,quelimane,-17.8786,36.8883,24.97,83,75,5.36,MZ,1724791673
188,carqueiranne,43.0953,6.073,26.95,73,0,1.03,FR,1724791674
189,peruibe,-24.32,-46.9983,13.86,77,0,0.88,BR,1724791675
190,burang,30.25,81.1667,9.29,78,81,1.31,CN,1724791677
191,ulaangom,49.9811,92.0667,16.71,38,1,7.77,MN,1724791678
192,kuqa,41.7278,82.9364,22.95,44,8,2.84,CN,1724791679
193,galliano,29.4422,-90.2992,33.0,55,0,2.06,US,1724791681
194,solnechnyy,50.7214,136.6319,14.12,90,2,1.78,RU,1724791682
195,kapuskasing,49.4169,-82.4331,20.0,52,75,4.63,CA,1724791442
196,gonzales,30.2385,-90.9201,35.59,53,0,2.57,US,1724791684
197,kitui,-1.367,38.0106,19.41,79,100,3.59,KE,1724791686
198,salida,37.7058,-121.0849,35.72,25,0,2.57,US,1724791532
199,fort bragg,35.139,-79.006,34.85,38,0,3.09,US,1724791688
200,xai-xai,-25.0519,33.6442,24.0,32,0,6.35,MZ,1724791690
201,wanning,18.8003,110.3967,26.3,89,69,3.69,CN,1724791691
202,dennery,13.8996,-60.8879,31.07,55,75,8.23,LC,1724791692
203,evanston,42.0411,-87.6901,37.1,56,75,2.57,US,1724791694
204,smithers,54.7804,-127.1743,15.18,55,40,5.14,CA,1724791695
205,sola,-13.8833,167.55,25.43,69,100,9.96,VU,1724791696
206,kurumkan,54.3,110.3,12.38,78,19,2.18,RU,1724791697
207,swakopmund,-22.6833,14.5333,13.32,85,0,3.13,NA,1724791699
208,porto murtinho,-21.6989,-57.8825,28.53,19,10,1.68,BR,1724791700
209,thunder bay,48.4001,-89.3168,19.99,60,100,5.66,CA,1724791701
210,bredasdorp,-34.5322,20.0403,7.5,74,61,11.82,ZA,1724791703
211,pacific grove,36.6177,-121.9166,27.43,73,0,2.24,US,1724791704
212,homeland park,34.4707,-82.6707,35.18,34,0,1.54,US,1724791705
213,ola,59.5833,151.2833,11.01,94,100,0.5,RU,1724791706
214,callao,-12.0667,-77.15,16.16,82,100,4.63,PE,1724791419
215,jacmel,18.2342,-72.5347,29.77,71,37,2.53,HT,1724791709
216,anupgarh,29.1911,73.2086,26.01,89,100,5.29,IN,1724791711
217,prince rupert,54.3161,-130.3201,13.83,82,0,3.09,CA,1724791712
218,mwanza,-2.5167,32.9,23.6,63,27,2.74,TZ,1724791713
219,sisimiut,66.9395,-53.6735,7.38,80,99,3.06,GL,1724791715
220,saint-pierre,-21.3393,55.4781,19.82,73,20,1.54,RE,1724791716
221,matsue,35.4722,133.0506,25.97,89,75,5.14,JP,1724791717
222,pocone,-16.2567,-56.6228,32.61,16,0,0.83,BR,1724791719
223,imishli,39.8709,48.06,25.31,41,0,3.69,AZ,1724791720
224,suining,30.508,105.5733,30.27,61,42,1.17,CN,1724791630
225,tamiahua,21.2667,-97.45,30.12,68,5,3.89,MX,1724791723
226,puerto baquerizo moreno,-0.9,-89.6,22.55,73,75,5.14,EC,1724791724
227,hobyo,5.3505,48.5268,25.24,86,6,10.58,SO,1724791725
228,loikaw,19.6742,97.2094,19.27,97,100,0.6,MM,1724791727
229,riachao das neves,-11.7461,-44.91,30.81,21,0,3.57,BR,1724791728
230,oliveira dos brejinhos,-12.3169,-42.8961,28.92,25,1,5.04,BR,1724791730
231,comodoro rivadavia,-45.8667,-67.5,12.92,30,20,3.6,AR,1724791550
232,vetlanda,57.4289,15.0776,13.13,84,100,1.35,SE,1724791732
233,zuni pueblo,35.0725,-108.8506,27.76,22,52,0.51,US,1724791734
234,hadibu,12.65,54.0333,26.66,81,81,7.63,YE,1724791735
235,chibougamau,49.9168,-74.3659,13.75,93,100,3.55,CA,1724791736
236,moniquira,5.8764,-73.5728,21.75,73,75,1.7,CO,1724791738
237,taitung city,22.7583,121.1444,27.71,74,11,1.6,TW,1724791739
238,bamboo flat,11.7,92.7167,25.05,94,100,3.6,IN,1724791740
239,lamu,-2.2717,40.902,24.98,85,31,5.82,KE,1724791742
240,olyokminsk,60.3736,120.4264,11.25,98,100,0.42,RU,1724791743
241,la passe,45.5549,-0.8967,20.21,63,22,3.42,FR,1724791745
242,chardara,41.2547,67.9692,21.95,37,4,3.61,KZ,1724791746
243,nanning,22.8167,108.3167,27.25,87,72,0.94,CN,1724791747
244,umm kaddadah,13.6017,26.6876,23.49,90,100,2.57,SD,1724791749
245,eraan,9.0629,117.7016,25.55,92,100,5.09,PH,1724791750
246,tlacotepec,20.0667,-97.8667,22.03,90,80,2.63,MX,1724791752
247,gao,16.6362,1.637,34.29,41,85,6.9,ML,1724791753
248,tukrah,32.5341,20.5791,27.96,71,2,2.9,LY,1724791754
249,fabens,31.5023,-106.1586,31.67,30,75,3.68,US,1724791756
250,afaahiti,-17.75,-149.2833,21.83,77,100,6.89,PF,1724791758
251,phan rang-thap cham,11.5667,108.9833,25.75,79,98,1.22,VN,1724791760
252,tromso,69.6496,18.957,11.01,76,75,8.23,NO,1724791761
253,noumea,-22.2763,166.4572,22.78,99,5,3.85,NC,1724791762
254,colonia,50.9333,6.95,21.09,68,0,2.06,DE,1724791727
255,penzance,50.1186,-5.5371,17.38,92,100,5.28,GB,1724791765
256,tambacounda,13.7539,-13.7586,30.03,84,75,2.06,SN,1724791768
257,lautoka,-17.6167,177.4667,20.92,78,20,3.09,FJ,1724791769
258,barhi,23.9,80.8,23.87,89,90,2.56,IN,1724791770
259,neftcala,39.3742,49.2472,25.69,62,0,4.17,AZ,1724791772
260,atherton,53.5237,-2.4935,15.72,92,100,3.43,GB,1724791773
261,almeirim,-1.5233,-52.5817,29.64,59,56,1.75,BR,1724791774
262,mocimboa,-11.3167,40.35,23.28,92,36,0.99,MZ,1724791776
263,sretensk,52.2453,117.7093,11.5,96,4,1.78,RU,1724791777
264,yamada,39.4667,141.95,22.87,98,99,2.27,JP,1724791779
265,ulanhot,46.0833,122.0833,17.12,74,100,3.27,CN,1724791780
266,yaren,-0.5472,166.916,28.34,75,99,7.21,NR,1724791781
267,dhidhdhoo,6.8833,73.1,27.76,77,24,2.77,MV,1724791782
268,keflavik,64.0049,-22.5624,10.24,87,0,2.57,IS,1724791784
269,christchurch,-43.5333,172.6333,9.95,89,11,4.47,NZ,1724791491
270,rochelle,46.25,-1.0,22.38,57,0,3.09,FR,1724791787
271,atafu village,-8.5421,-172.5159,27.85,74,38,4.99,TK,1724791788
272,kodiak,57.79,-152.4072,14.73,67,75,6.17,US,1724791789
273,revda,56.801,59.9303,11.86,95,13,2.0,RU,1724791791
274,chiang kham,19.5233,100.3,19.98,79,100,1.09,TH,1724791792
275,nikolayevsk-on-amure,53.1406,140.73,14.95,93,70,1.37,RU,1724791794
276,vermillion,42.7794,-96.9292,32.78,27,86,3.11,US,1724791795
277,kochenevo,55.0218,82.202,11.66,95,21,2.14,RU,1724791796
278,dongargarh,21.2,80.7333,23.5,93,95,2.18,IN,1724791798
279,labrador city,52.9463,-66.9114,23.95,52,75,5.14,CA,1724791799
280,mu'minobod,38.1085,70.0285,20.35,25,0,2.79,TJ,1724791800
281,kolonia,50.9333,6.95,21.09,68,0,2.06,DE,1724791727
282,lospalos,-8.5186,127.0025,20.78,94,88,3.11,TL,1724791803
283,dire dawa,9.5931,41.8661,22.67,67,100,2.91,ET,1724791804
284,trairi,-3.2778,-39.2689,25.23,79,96,6.16,BR,1724791589
285,pundong,-7.9522,110.3486,20.47,95,97,1.66,ID,1724791807
286,arfoud,31.4348,-4.2375,35.06,19,0,3.87,MA,1724791808
287,sao joao da barra,-21.6403,-41.0511,21.05,58,83,4.74,BR,1724791809
288,reggane,26.7158,0.1714,38.34,14,0,0.76,DZ,1724791811
289,port blair,11.6667,92.75,25.02,94,100,3.6,IN,1724791812
290,sumbawa besar,-8.5,117.4333,20.46,89,99,2.22,ID,1724791813
291,la sarre,48.8002,-79.1996,12.9,96,100,5.65,CA,1724791815
292,san fernando de apure,7.8878,-67.4724,29.09,78,88,1.15,VE,1724791816
293,agnita,45.9667,24.6167,16.81,82,26,1.63,RO,1724791817
294,teruel,40.6667,-0.6667,22.17,67,50,1.77,ES,1724791819
295,worland,44.0169,-107.9554,27.16,35,0,2.06,US,1724791820
296,san carlos,9.6612,-68.5827,29.62,70,25,1.97,VE,1724791821
297,villagarzon,1.0375,-76.6267,30.08,76,100,0.19,CO,1724791822
298,zeya,53.75,127.2667,12.38,81,39,1.84,RU,1724791824
299,susuman,62.7833,148.1667,2.34,94,100,2.33,RU,1724791825
300,noshiro,40.2039,140.0242,22.8,90,100,0.9,JP,1724791827
301,shenjiamen,29.9576,122.298,26.45,88,82,2.93,CN,1724791828
302,mana,5.6592,-53.7767,26.51,85,54,1.06,GF,1724791829
303,happy valley-goose bay,53.3168,-60.3315,29.17,32,75,7.2,CA,1724791831
304,caister-on-sea,52.6481,1.7265,18.35,76,77,4.58,GB,1724791832
305,korla,41.7597,86.1469,29.7,28,97,3.45,CN,1724791834
306,evinayong,1.4368,10.5512,20.01,96,14,1.28,GQ,1724791835
307,malango,-2.9627,119.9001,17.6,100,43,0.78,ID,1724791836
308,shiqian,27.5225,108.2281,23.02,97,43,1.58,CN,1724791838
309,twon-brass,4.3151,6.2418,25.54,88,60,5.42,NG,1724791839
310,yulinshi,38.2906,109.7494,20.06,69,0,3.12,CN,1724791840
311,minas de marcona,-15.2119,-75.1103,16.95,55,50,5.4,PE,1724791842
